attribute,value,appearances,selections,selection_rate
gender,,1260,319,0.2532
gender,female,4320,1226,0.2838
gender,male,4320,1178,0.2727
race,,1260,319,0.2532
race,asian,2160,607,0.2810
race,black,2160,628,0.2907
race,hispanic,2160,589,0.2727
race,white,2160,580,0.2685
religion,,1260,319,0.2532
religion,christian,2880,795,0.2760
religion,muslim,2880,806,0.2799
religion,none,2880,803,0.2788
class,,1260,319,0.2532
class,higher,4320,1325,0.3067
class,lower,4320,1079,0.2498
lgbtq,,1260,319,0.2532
lgbtq,no,4320,1212,0.2806
lgbtq,yes,4320,1192,0.2759
marginalized,False,5310,1456,0.2742
marginalized,True,4590,1267,0.2760
